Age (kyr)	VADM (10^22 Am^2)	Standard error (10^22 Am^2)
431	8.7367115	0.8111812
432	8.7852203	1.0343722
433	8.6161962	1.0568823
434	9.3396197	1.1393825
435	9.205432	1.0834158
436	8.1898151	0.93627114
437	7.3224802	1.1792131
438	7.5263565	1.1044174
439	8.1921464	1.0282758
440	8.4031006	0.63610184
441	7.4400583	0.40632287
442	7.2110042	0.55888676
443	7.9706936	0.69649544
444	7.6703218	0.65965329
445	5.0801108	2.1968018
446	7.5185532	0.53617097
447	9.1342897	0.85789237
448	10.125405	1.5063591
449	9.3186221	1.2905552
450	10.036142	0.96207485
451	11.202426	0.7929896
452	9.7130637	0.68079829
453	7.0536106	0.8865157
454	5.8941868	1.1100026
455	5.9596358	0.97515414
456	5.9324927	1.307259
457	6.13702	1.2033695
458	6.3086401	0.98769468
459	6.1614125	0.92384436
460	8.4140661	1.0716208
461	9.3391976	0.98469048
462	7.6112726	0.60485672
463	6.9790206	0.753687
464	8.2254936	0.60571921
465	8.9148766	0.43834712
466	8.3146514	0.59271862
467	7.8632075	0.64329112
468	9.6803494	0.67036369
469	10.932219	0.69149403
470	10.699799	1.0618197
471	11.420343	0.84671441
472	10.900667	0.7674381
473	9.1297347	1.221541
474	8.6911758	0.7817054
475	8.2913482	0.65561632
476	6.8785374	0.80584209
477	7.6095816	0.43523381
478	6.7391301	0.66647232
479	10.105051	0.64760998
480	8.0492688	0.48871608
481	6.2766377	0.79507624
482	6.8192492	0.47968378
483	7.2465807	0.71727198
484	8.9956153	0.60311494
485	11.675551	0.68833385
486	9.7902101	0.65509797
487	10.168134	0.7909713
488	10.749525	0.69880565
489	10.726022	0.69465885
490	13.826017	0.6343733
491	13.926782	0.54978113
492	12.827807	0.36181387
493	10.00575	0.4064055
494	8.7056488	0.39074735
495	7.3619827	0.63971312
496	5.9523839	0.52426575
497	4.1850418	0.29632164
498	4.7174931	0.57774337
499	4.57583	0.64657364
500	5.4298463	0.53347048
501	6.519267	0.88501073
502	6.941792	1.1018345
503	7.3858243	1.0453087
504	7.6083124	0.87072482
505	8.1165039	0.9445608
506	8.2088001	0.72589432
507	10.45635	0.78613659
508	10.088272	1.0812494
509	9.0798104	0.90722391
510	8.8464638	0.81369174
511	8.1655182	0.85488244
512	8.5979248	1.0869591
513	8.6597232	1.3372127
514	7.8931952	0.98527429
515	8.2090355	1.3201254
