"SUL 2-15
Italy, Sulmona","Hea,ng ,me: 60 s
measured 02/15/2012","J=0.0008041± 0.00000019343
Irr 50",,,,,,,,,,,,,,,,,,"BLANKS
10minutes",,,,,,,,,,
,Power,40Ar,40Ar,± 1σ,39Ar,± 1σ,38Ar,± 1σ,37Ar,± 1σ,36Ar,± 1σ,D 1,%1σ,% 40Ar*,Age,± 1σ,Ca/K,± 1σ,40Ar,40Ar,± 1s,39Ar,± 1s,38Ar,± 1s,37Ar,± 1s,36Ar,± 1s
N,% full power,Moles,V,V,V,V,V,V,V,V,V,V,,,,ka,ka,,,Moles,V,V,V,V,V,V,V,V,V,V
N1102-10,12,"4,398E-15","3,218E-03","1,609E-06","1,697E-03","1,358E-06","2,801E-05","8,403E-08","6,053E-06","4,237E-08","8,042E-06","2,413E-08","1,00931","0,2","29,9","767,4","± 15,5","27,5","0,3","9,864E-18","7,767E-06","1,243E-07","1,276E-06","1,059E-07","2,589E-09","2,563E-09","1,967E-08","1,463E-08","1,495E-07","1,779E-08"
N1102-11,12,"1,151E-15","8,476E-04","1,102E-06","1,391E-03","1,669E-06","2,144E-05","1,072E-07","3,382E-06","3,382E-08","3,121E-07","1,795E-08","1,00894","0,2","94,5","773,7","± 7,4","40,4","0,5","9,864E-18","7,767E-06","1,243E-07","1,276E-06","1,059E-07","2,589E-09","2,563E-09","1,967E-08","1,463E-08","1,495E-07","1,779E-08"
N1102-12,12,"1,475E-15","1,084E-03","2,169E-06","1,726E-03","2,071E-06","2,671E-05","1,068E-07","4,088E-06","2,453E-08","4,510E-07","1,037E-08","1,00898","0,2","92,1","778,3","± 5,3","41,5","0,4","9,864E-18","7,767E-06","1,243E-07","1,276E-06","1,059E-07","2,589E-09","2,563E-09","1,967E-08","1,463E-08","1,495E-07","1,779E-08"
N1102-13,12,"1,834E-15","1,348E-03","1,618E-06","2,216E-03","3,324E-06","4,177E-05","1,671E-07","5,318E-06","5,318E-08","4,025E-07","1,530E-08","1,00903","0,2","93,8","768,3","± 4,3","41,2","0,7","1,221E-17","9,613E-06","1,250E-07","2,636E-06","1,476E-07","9,240E-09","9,148E-09","6,250E-08","6,188E-08","1,083E-07","1,451E-08"
N1102-14,12,"2,664E-15","1,954E-03","2,736E-06","3,011E-03","3,914E-06","4,638E-05","1,391E-07","9,672E-06","4,836E-08","8,066E-07","2,097E-08","1,00912","0,2","89,9","787,0","± 4,0","31,2","0,3","1,221E-17","9,613E-06","1,250E-07","2,636E-06","1,476E-07","9,240E-09","9,148E-09","6,250E-08","6,188E-08","1,083E-07","1,451E-08"
N1102-15,12,"2,799E-15","2,052E-03","3,078E-06","2,664E-03","3,996E-06","4,128E-05","1,445E-07","6,246E-06","6,246E-08","1,969E-06","2,875E-08","1,00913","0,2","75,4","784,1","± 5,6","36,4","0,4","1,076E-17","8,471E-06","1,440E-07","1,226E-06","1,422E-07","1,466E-08","5,923E-09","1,441E-08","1,032E-08","2,058E-07","1,317E-08"
N1102-16,12,"2,309E-15","1,694E-03","2,372E-06","1,526E-03","1,984E-06","2,339E-05","7,953E-08","4,977E-06","3,783E-08","3,064E-06","2,758E-08","1,00908","0,2","51,7","773,8","± 9,9","26,2","0,3","1,076E-17","8,471E-06","1,440E-07","1,226E-06","1,422E-07","1,466E-08","5,923E-09","1,441E-08","1,032E-08","2,058E-07","1,317E-08"
N1102-17,12,"1,589E-15","1,168E-03","2,453E-06","1,335E-03","3,071E-06","2,075E-05","6,225E-08","1,800E-04","3,240E-07","1,915E-06","1,053E-08","1,00900","0,2","67,1","789,9","± 9,7","0,6","0,0","1,076E-17","8,471E-06","1,440E-07","1,226E-06","1,422E-07","1,466E-08","5,923E-09","1,441E-08","1,032E-08","2,058E-07","1,317E-08"
N1102-18,12,"1,145E-15","8,446E-04","1,267E-06","1,349E-03","1,619E-06","2,056E-05","8,224E-08","4,557E-06","3,828E-08","4,160E-07","1,206E-08","1,00895","0,2","93,0","781,4","± 5,6","25,3","0,3","1,076E-17","8,471E-06","1,440E-07","1,226E-06","1,422E-07","1,466E-08","5,923E-09","1,441E-08","1,032E-08","2,058E-07","1,317E-08"
N1102-19,12,"1,347E-15","9,906E-04","1,783E-06","1,550E-03","2,480E-06","2,346E-05","8,680E-08","3,210E-06","3,852E-08","3,320E-07","7,968E-09","1,00897","0,2","95,2","818,1","± 4,2","40,7","0,6","9,037E-18","7,116E-06","1,779E-07","7,635E-07","2,008E-07","1,918E-09","1,573E-09","3,113E-08","1,753E-08","1,630E-07","1,042E-08"
N1102-20,12,"9,954E-16","7,337E-04","1,394E-06","1,177E-03","1,765E-06","1,813E-05","9,790E-08","3,129E-06","2,065E-08","3,352E-07","7,710E-09","1,00893","0,2","93,4","781,3","± 5,0","31,7","0,4","9,037E-18","7,116E-06","1,779E-07","7,635E-07","2,008E-07","1,918E-09","1,573E-09","3,113E-08","1,753E-08","1,630E-07","1,042E-08"
